target,corr_friend_robust,corr_friend_baseline,mae_friend_robust,friend_minus_robust_mean
Q1,0.47237015694812146,0.4070069465517086,0.16807219938295884,0.010415142093635588
Q2,0.4084723545624806,0.4042738299520062,0.1286448432071582,0.005750521251078777
Q3,0.3207557104348124,0.2609997836235129,0.16424859512106094,0.033856718330911306
S1,0.8122748183084262,0.8036899299093859,0.08884571763794276,0.06523018302229144
S2,0.9044020438760986,0.8922708000690499,0.1006806962230694,-0.044414703188665916
S3,0.8733263885107673,0.865860534522248,0.10637835650512273,-0.045660339271909156
S4,0.6129085296361493,0.606100970069966,0.11511269784696097,-0.034229005235567045
