target,corr_friend_v2robust,mae_friend_v2robust,friend_minus_v2robust_mean
Q1,0.4895098133124098,0.15591741787269262,0.013757587745802269
Q2,0.47267095925697655,0.12284391460042102,-0.005124178470996332
Q3,0.39832964991810627,0.13207860243936365,0.020211041208892833
S1,0.802048878066012,0.09280997846626707,0.06186079154316493
S2,0.8954452639882212,0.09583232436144302,-0.060329295639746094
S3,0.8704812786241262,0.1073028624571915,-0.04507505955613844
S4,0.6444248661523012,0.10325702861903549,-0.003665759133159807
