target,corr_mlp_v3,corr_mlp_friend,mlp_mean,v3_mean,friend_mean
Q1,0.9388635084194675,0.6112634347934618,0.5027311793313701,0.5024853876686077,0.5200969551783344
Q2,0.8592266251333802,0.4868479833535248,0.6019345174663602,0.5824214935205646,0.5828242936514327
Q3,0.8819580801339802,0.5047442627156392,0.6346361983120903,0.6047511835601894,0.6476312208966688
S1,0.9222146878278017,0.7993412837055764,0.6850975042456067,0.6374265168229493,0.7019957201553116
S2,0.9777359396078573,0.8977756611476929,0.6517941965165764,0.6063280153554901,0.5746759894386262
S3,0.9885372662407549,0.87801838782419,0.6718186731234432,0.6676128069288486,0.6223265848546239
S4,0.9207628132596553,0.730071151135258,0.5531420197767396,0.5547961333823662,0.5413517799189128
