target,mean_logloss,std_logloss,max_logloss,selection_score,method,tau,power,max_days,shrink
Q1,0.6721086955198342,0.03174037673433597,0.7157406069492106,0.7158308200508787,inverse,14.0,1.0,,0.12
Q2,0.6437935903975611,0.06956038524211998,0.7322553972775251,0.6977964565719674,inverse,14.0,1.0,,0.12
Q3,0.6604991954497272,0.03833493313460641,0.7112356821265793,0.7056447128397078,inverse,14.0,0.75,56.0,0.12
S1,0.6611477559708285,0.1413564364536619,0.8606791277782245,0.7395208214731552,gaussian,28.0,1.0,,0.12
S2,0.5955665672507985,0.07018816983321036,0.6948026766499484,0.6478537435415985,inverse,14.0,0.75,,0.12
S3,0.5868210988423351,0.0897205364766804,0.7134765577511313,0.6449250608490618,exp,28.0,1.0,,0.12
S4,0.6409138707945067,0.0130845621281379,0.6594001182731376,0.677155017240198,gaussian,28.0,1.0,56.0,0.12
