target,submission_strategy,model_name,threshold,accuracy,f1,positive_rate,prior_gap,fold
Q2,blend_svc_rbf_rule_0.5,svc_rbf,0.05,0.6324786324786325,0.7748691099476439,1.0,0.4624624624624625,last_quarter_by_subject
Q2,blend_svc_rbf_rule_0.75,svc_rbf,0.25,0.6495726495726496,0.7830687830687831,0.9829059829059829,0.44536844536844533,last_quarter_by_subject
Q2,model_random_forest,random_forest,0.4,0.6837606837606838,0.7909604519774011,0.8803418803418803,0.3428043428043428,last_quarter_by_subject
Q2,blend_random_forest_rule_0.25,random_forest,0.1,0.6581196581196581,0.782608695652174,0.9401709401709402,0.40263340263340264,last_quarter_by_subject
Q2,blend_random_forest_rule_0.5,random_forest,0.25,0.7008547008547008,0.7953216374269005,0.8290598290598291,0.2915222915222916,last_quarter_by_subject
Q2,blend_random_forest_rule_0.75,random_forest,0.35,0.6923076923076923,0.7954545454545455,0.8717948717948718,0.3342573342573343,last_quarter_by_subject
Q2,model_extra_trees,extra_trees,0.35,0.6752136752136753,0.7912087912087912,0.9230769230769231,0.3855393855393856,last_quarter_by_subject
Q2,blend_extra_trees_rule_0.25,extra_trees,0.1,0.6666666666666666,0.7868852459016393,0.9316239316239316,0.3940863940863941,last_quarter_by_subject
Q2,blend_extra_trees_rule_0.5,extra_trees,0.2,0.6666666666666666,0.7868852459016393,0.9316239316239316,0.3940863940863941,last_quarter_by_subject
Q2,blend_extra_trees_rule_0.75,extra_trees,0.35,0.6837606837606838,0.7885714285714286,0.8632478632478633,0.32571032571032577,last_quarter_by_subject
Q2,model_hist_gradient_boosting,hist_gradient_boosting,0.35,0.7008547008547008,0.7953216374269005,0.8290598290598291,0.2915222915222916,last_quarter_by_subject
Q2,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.1,0.6752136752136753,0.7888888888888889,0.905982905982906,0.36844536844536846,last_quarter_by_subject
Q2,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.2,0.6752136752136753,0.7888888888888889,0.905982905982906,0.36844536844536846,last_quarter_by_subject
Q2,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.3,0.6752136752136753,0.7888888888888889,0.905982905982906,0.36844536844536846,last_quarter_by_subject
Q2,model_mlp,mlp,0.6,0.6837606837606838,0.7448275862068966,0.6068376068376068,0.06930006930006927,last_quarter_by_subject
Q2,blend_mlp_rule_0.25,mlp,0.15,0.6752136752136753,0.7790697674418605,0.8376068376068376,0.3000693000693001,last_quarter_by_subject
Q2,blend_mlp_rule_0.5,mlp,0.35,0.6837606837606838,0.783625730994152,0.8290598290598291,0.2915222915222916,last_quarter_by_subject
Q2,blend_mlp_rule_0.75,mlp,0.2,0.6324786324786325,0.7570621468926554,0.8803418803418803,0.3428043428043428,last_quarter_by_subject
Q2,model_lightgbm,lightgbm,0.35,0.6837606837606838,0.7955801104972376,0.9145299145299145,0.376992376992377,last_quarter_by_subject
Q2,blend_lightgbm_rule_0.25,lightgbm,0.1,0.6752136752136753,0.7888888888888889,0.905982905982906,0.36844536844536846,last_quarter_by_subject
Q2,blend_lightgbm_rule_0.5,lightgbm,0.2,0.6752136752136753,0.7888888888888889,0.905982905982906,0.36844536844536846,last_quarter_by_subject
Q2,blend_lightgbm_rule_0.75,lightgbm,0.25,0.6666666666666666,0.7914438502673796,0.9658119658119658,0.4282744282744283,last_quarter_by_subject
Q2,model_catboost,catboost,0.4,0.6923076923076923,0.797752808988764,0.8888888888888888,0.3513513513513513,last_quarter_by_subject
Q2,blend_catboost_rule_0.25,catboost,0.1,0.6752136752136753,0.7934782608695653,0.9401709401709402,0.40263340263340264,last_quarter_by_subject
