target,submission_strategy,model_name,mean_f1,std_f1,min_f1,mean_accuracy,mean_prior_gap,median_threshold,folds,generalization_score,threshold
Q1,model_catboost,catboost,0.7146807801787164,0.017855408832581382,0.6940639269406392,0.5753073924126556,0.46365416189185726,0.35,3,0.7751594684564896,0.35
Q2,meta_rule_extra_trees,extra_trees,0.7887506126595311,0.025605682507838602,0.761904761904762,0.6665204678362574,0.4125499182551138,0.35,3,0.8521382475960879,0.35
Q3,blend_mlp_rule_0.5,mlp,0.8035649730564985,0.014993552193996179,0.7863247863247863,0.6980881691408007,0.3087268246105764,0.25,3,0.8747006755919791,0.25
S1,blend_mlp_rule_0.5,mlp,0.8433211233211232,0.015434305474187438,0.8266666666666667,0.7575086219823062,0.17314899761566696,0.15,3,0.9182706372506961,0.15
S2,model_extra_trees,extra_trees,0.7681664740488271,0.003070069714410119,0.7647058823529412,0.6603801169590643,0.19890331550174037,0.45,3,0.8431020274269161,0.45
S3,meta_rule_lightgbm,lightgbm,0.7944107080319704,0.00784123970737728,0.7891156462585033,0.6877867746288798,0.21314700381968701,0.4,3,0.8694016528041322,0.4
S4,blend_svc_rbf_rule_0.75,svc_rbf,0.7311366293084935,0.006677599734595723,0.7253886010362695,0.6419665617034038,0.22824073860984126,0.4,3,0.8003366895448226,0.4
