fold,target,submission_strategy,model_name,shrink_alpha,logloss
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.75,linear_svc,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.75,linear_svc,0.15,0.7176515255824334
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.75,linear_svc,0.25,0.7331934789820659
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.75,linear_svc,0.35,0.7533590154734296
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.75,linear_svc,0.5,0.7939795294649056
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.75,linear_svc,0.75,0.9038741539558822
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.75,linear_svc,1.0,1.215853655411155
last_quarter_by_subject,Q1,model_svc_rbf,svc_rbf,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_svc_rbf,svc_rbf,0.15,0.6987933199778306
last_quarter_by_subject,Q1,model_svc_rbf,svc_rbf,0.25,0.6971985178643201
last_quarter_by_subject,Q1,model_svc_rbf,svc_rbf,0.35,0.6960868257718125
last_quarter_by_subject,Q1,model_svc_rbf,svc_rbf,0.5,0.6953261342473218
last_quarter_by_subject,Q1,model_svc_rbf,svc_rbf,0.75,0.6965297538301629
last_quarter_by_subject,Q1,model_svc_rbf,svc_rbf,1.0,0.7010279327939104
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.25,svc_rbf,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.25,svc_rbf,0.15,0.7247148801069114
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.25,svc_rbf,0.25,0.7476907608199814
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.25,svc_rbf,0.35,0.777602344834524
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.25,svc_rbf,0.5,0.837547613528664
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.25,svc_rbf,0.75,0.993010299202289
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.25,svc_rbf,1.0,1.2847105188034145
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.5,svc_rbf,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.5,svc_rbf,0.15,0.7146283073155554
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.5,svc_rbf,0.25,0.7267057391168168
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.5,svc_rbf,0.35,0.74190413521092
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.5,svc_rbf,0.5,0.7710152770352732
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.5,svc_rbf,0.75,0.8393864903673867
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.5,svc_rbf,1.0,0.9420190776837858
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.75,svc_rbf,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.75,svc_rbf,0.15,0.7059995697271993
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.75,svc_rbf,0.25,0.7099487454124779
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.75,svc_rbf,0.35,0.7149934575475225
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.75,svc_rbf,0.5,0.7246813280760699
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.75,svc_rbf,0.75,0.7469376895364371
last_quarter_by_subject,Q1,blend_svc_rbf_rule_0.75,svc_rbf,1.0,0.7781368204758369
last_quarter_by_subject,Q1,model_random_forest,random_forest,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_random_forest,random_forest,0.15,0.6961763052667518
last_quarter_by_subject,Q1,model_random_forest,random_forest,0.25,0.692638967043007
last_quarter_by_subject,Q1,model_random_forest,random_forest,0.35,0.6894274065563183
last_quarter_by_subject,Q1,model_random_forest,random_forest,0.5,0.685218509477232
last_quarter_by_subject,Q1,model_random_forest,random_forest,0.75,0.679841751341433
last_quarter_by_subject,Q1,model_random_forest,random_forest,1.0,0.6765973291204384
last_quarter_by_subject,Q1,blend_random_forest_rule_0.25,random_forest,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_random_forest_rule_0.25,random_forest,0.15,0.7240279043009967
last_quarter_by_subject,Q1,blend_random_forest_rule_0.25,random_forest,0.25,0.7464337678747992
last_quarter_by_subject,Q1,blend_random_forest_rule_0.25,random_forest,0.35,0.7756476028488943
last_quarter_by_subject,Q1,blend_random_forest_rule_0.25,random_forest,0.5,0.8341911290848723
last_quarter_by_subject,Q1,blend_random_forest_rule_0.25,random_forest,0.75,0.9854164047099926
last_quarter_by_subject,Q1,blend_random_forest_rule_0.25,random_forest,1.0,1.2643597930469404
last_quarter_by_subject,Q1,blend_random_forest_rule_0.5,random_forest,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_random_forest_rule_0.5,random_forest,0.15,0.7132815480432552
last_quarter_by_subject,Q1,blend_random_forest_rule_0.5,random_forest,0.25,0.7242963142361566
last_quarter_by_subject,Q1,blend_random_forest_rule_0.5,random_forest,0.35,0.7382678474402596
last_quarter_by_subject,Q1,blend_random_forest_rule_0.5,random_forest,0.5,0.7651424350938281
last_quarter_by_subject,Q1,blend_random_forest_rule_0.5,random_forest,0.75,0.8281686817265342
last_quarter_by_subject,Q1,blend_random_forest_rule_0.5,random_forest,1.0,0.9214851555525718
last_quarter_by_subject,Q1,blend_random_forest_rule_0.75,random_forest,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_random_forest_rule_0.75,random_forest,0.15,0.7040122647494071
last_quarter_by_subject,Q1,blend_random_forest_rule_0.75,random_forest,0.25,0.7064520954129321
last_quarter_by_subject,Q1,blend_random_forest_rule_0.75,random_forest,0.35,0.7098282693581984
last_quarter_by_subject,Q1,blend_random_forest_rule_0.75,random_forest,0.5,0.7166815796230761
last_quarter_by_subject,Q1,blend_random_forest_rule_0.75,random_forest,0.75,0.7331357567838177
last_quarter_by_subject,Q1,blend_random_forest_rule_0.75,random_forest,1.0,0.7566653548559791
last_quarter_by_subject,Q1,model_extra_trees,extra_trees,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_extra_trees,extra_trees,0.15,0.69398033468902
last_quarter_by_subject,Q1,model_extra_trees,extra_trees,0.25,0.6890402881648474
last_quarter_by_subject,Q1,model_extra_trees,extra_trees,0.35,0.6844697702681333
last_quarter_by_subject,Q1,model_extra_trees,extra_trees,0.5,0.6782964820007128
last_quarter_by_subject,Q1,model_extra_trees,extra_trees,0.75,0.6698199295346333
last_quarter_by_subject,Q1,model_extra_trees,extra_trees,1.0,0.6636689246858288
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.25,extra_trees,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.25,extra_trees,0.15,0.723488589431168
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.25,extra_trees,0.25,0.7455454515429384
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.25,extra_trees,0.35,0.774400938362648
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.25,extra_trees,0.5,0.832353591924764
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.25,extra_trees,0.75,0.9822587416427253
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.25,extra_trees,1.0,1.2589843379869095
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.5,extra_trees,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.5,extra_trees,0.15,0.7122004018698586
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.5,extra_trees,0.25,0.7225302485191163
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.5,extra_trees,0.35,0.735830225070272
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.5,extra_trees,0.5,0.7616996609890844
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.5,extra_trees,0.75,0.8229963898146987
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.5,extra_trees,1.0,0.9145689740825849
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.75,extra_trees,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.75,extra_trees,0.15,0.7023808994366383
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.75,extra_trees,0.25,0.7037916028167076
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.75,extra_trees,0.35,0.7061778173960068
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.75,extra_trees,0.5,0.7116113372311561
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.75,extra_trees,0.75,0.7258700258121921
last_quarter_by_subject,Q1,blend_extra_trees_rule_0.75,extra_trees,1.0,0.7474970116547927
last_quarter_by_subject,Q1,model_hist_gradient_boosting,hist_gradient_boosting,0.0,0.7021005506647676
