target,submission_strategy,model_name,shrink_alpha,mean_logloss,std_logloss,max_logloss,folds,selection_score
Q1,model_extra_trees,extra_trees,1.0,0.6567613222901042,0.0066137690430492484,0.6636689246858288,3,0.691598210785158
Q2,meta_rule_extra_trees,extra_trees,1.0,0.6266755526051764,0.008093362631630482,0.6356812428505215,3,0.6604829554056101
Q3,blend_catboost_rule_0.75,catboost,0.75,0.615791798095557,0.012348435951686393,0.6240685164899332,3,0.6500823329079752
S1,blend_catboost_rule_0.75,catboost,1.0,0.5470293857056227,0.025950693610142617,0.5674903831666397,3,0.5818915782664903
S2,meta_rule_extra_trees,extra_trees,1.0,0.6105237193945446,0.015298487949769403,0.6276551510874893,3,0.6457310989363615
S3,blend_extra_trees_rule_0.75,extra_trees,0.75,0.6263493532356931,0.012587821826236443,0.6369879670340323,3,0.6613457070439538
S4,blend_extra_trees_rule_0.75,extra_trees,1.0,0.6352601458228128,0.011178133732079206,0.6480180537340714,3,0.6704555819425362
