target,strategy,fold,accuracy,f1,positive_rate
Q3,leave_subject_out,id10,0.36363636363636365,0.27586206896551724,0.24242424242424243
Q3,temporal,last_quarter_by_subject,0.6068376068376068,0.684931506849315,0.5897435897435898
S1,leave_subject_out,id01,0.5609756097560976,0.6785714285714285,0.7317073170731707
S1,leave_subject_out,id02,0.8541666666666666,0.9195402298850575,0.9375
S1,leave_subject_out,id03,0.6666666666666666,0.7755102040816326,0.6666666666666666
S1,leave_subject_out,id04,0.631578947368421,0.7586206896551724,0.7719298245614035
S1,leave_subject_out,id05,0.5681818181818182,0.4242424242424242,0.2727272727272727
S1,leave_subject_out,id06,0.2916666666666667,0.43333333333333335,0.3125
S1,leave_subject_out,id07,0.46938775510204084,0.59375,0.5102040816326531
S1,leave_subject_out,id08,0.39285714285714285,0.5526315789473684,0.9107142857142857
S1,leave_subject_out,id09,0.5121951219512195,0.4444444444444444,0.3170731707317073
S1,leave_subject_out,id10,0.3939393939393939,0.47368421052631576,0.6666666666666666
S1,temporal,last_quarter_by_subject,0.4700854700854701,0.5373134328358209,0.4444444444444444
S2,leave_subject_out,id01,0.5609756097560976,0.6785714285714286,0.7804878048780488
S2,leave_subject_out,id02,0.5625,0.6865671641791045,0.4791666666666667
S2,leave_subject_out,id03,0.45454545454545453,0.5714285714285713,0.7575757575757576
S2,leave_subject_out,id04,0.5263157894736842,0.6301369863013698,0.5789473684210527
S2,leave_subject_out,id05,0.45454545454545453,0.3333333333333333,0.5681818181818182
S2,leave_subject_out,id06,0.75,0.8536585365853658,0.7916666666666666
S2,leave_subject_out,id07,0.4489795918367347,0.5970149253731343,0.6530612244897959
S2,leave_subject_out,id08,0.5178571428571429,0.5423728813559322,0.44642857142857145
S2,leave_subject_out,id09,0.6829268292682927,0.8059701492537314,0.8536585365853658
S2,leave_subject_out,id10,0.5757575757575758,0.5,0.48484848484848486
S2,temporal,last_quarter_by_subject,0.6410256410256411,0.7042253521126761,0.6153846153846154
S3,leave_subject_out,id01,0.8292682926829268,0.9066666666666667,0.975609756097561
S3,leave_subject_out,id02,0.3958333333333333,0.49122807017543857,0.2916666666666667
S3,leave_subject_out,id03,0.6363636363636364,0.7142857142857143,0.7878787878787878
S3,leave_subject_out,id04,0.47368421052631576,0.48275862068965514,0.47368421052631576
S3,leave_subject_out,id05,0.36363636363636365,0.125,0.5909090909090909
S3,leave_subject_out,id06,0.875,0.9333333333333332,0.9166666666666666
S3,leave_subject_out,id07,0.5714285714285714,0.7199999999999999,0.7346938775510204
S3,leave_subject_out,id08,0.5535714285714286,0.626865671641791,0.5357142857142857
S3,leave_subject_out,id09,0.5853658536585366,0.6666666666666667,0.5365853658536586
